iter	RMSE
0	1.18734405
1	1.133043298
2	1.08258907
3	1.035335036
4	0.9911701668
5	0.9487171306
6	0.9096984859
7	0.8738347209
8	0.8409282947
9	0.8101639489
10	0.7813100361
11	0.754208236
12	0.7285819609
13	0.7053241776
14	0.6838133967
15	0.6636967151
16	0.6455371193
17	0.6290658102
18	0.613548067
19	0.5993925278
20	0.5860182448
21	0.574126248
22	0.5620895651
23	0.550370005
24	0.5404882098
25	0.5305953417
26	0.5218097504
27	0.513945556
28	0.5068650314
29	0.5005779438
30	0.4942595173
31	0.489029453
32	0.4829288223
33	0.4780450476
34	0.4738774835
35	0.4686472561
36	0.4640979648
37	0.4604163295
38	0.4562542471
39	0.4528864254
40	0.449149189
41	0.4465187683
42	0.4428271619
43	0.4402965592
44	0.4380803352
45	0.4355559796
46	0.4332227726
47	0.4302434582
48	0.4278842148
49	0.4266218211
50	0.4251413949
51	0.423496223
52	0.4220923282
53	0.4198263766
54	0.4178583891
55	0.4164566201
56	0.4153356485
57	0.4133439359
58	0.4119849907
59	0.4107801175
60	0.4086551853
61	0.4076867472
62	0.4067742478
63	0.4056965163
64	0.4047162357
65	0.4030647887
66	0.4018501862
67	0.4013295186
68	0.4002945063
69	0.3996642133
70	0.3991045641
71	0.398660071
72	0.3976311761
73	0.3964971496
74	0.3953033232
75	0.3948818493
76	0.3944462441
77	0.394034574
78	0.3927327375
79	0.3916526314
80	0.3910863313
81	0.3903791264
82	0.3884365705
83	0.3879351733
84	0.3860980977
85	0.3845630151
86	0.3830130178
87	0.3823238862
88	0.3818717176
89	0.3812252841
90	0.3804422685
91	0.3798395824
92	0.3791983927
93	0.3785836632
94	0.3779948962
95	0.3775972924
96	0.3771572973
97	0.3757690974
98	0.3754457344
99	0.3749034327
100	0.3734986005
101	0.3728288633
102	0.3717774129
103	0.3713432583
104	0.3702731296
105	0.3692276742
106	0.3686061745
107	0.3679635045
108	0.3674202551
109	0.3666924382
110	0.3663037121
111	0.3653757113
112	0.3650542284
113	0.3639837756
114	0.3636541325
115	0.3625815464
116	0.3623607201
117	0.3619750155
118	0.3618346858
119	0.3611069163
120	0.3600717637
121	0.3595289035
122	0.3587724813
123	0.3581794734
124	0.357902504
125	0.3571232596
126	0.3568497727
127	0.3559747545
128	0.3547748328
129	0.3544749269
130	0.3541343254
131	0.3537781237
132	0.3532026162
133	0.3529907388
134	0.3524720274
135	0.3521915666
136	0.3517630628
137	0.3515037535
138	0.3512269736
139	0.3507963751
140	0.3499893597
141	0.3494063019
142	0.3490697646
143	0.3487727451
144	0.3483556481
145	0.3476408674
146	0.3473327817
147	0.3469070103
148	0.3463440229
149	0.3456069092
150	0.344752484
151	0.3442904201
152	0.3437722827
153	0.3430729963
154	0.3420178104
155	0.3413402001
156	0.3408417105
157	0.3400636319
158	0.3396467743
159	0.3390822871
160	0.3384628801
161	0.3378756251
162	0.3377014672
163	0.3370073696
164	0.3366044261
165	0.3359605933
166	0.3357397795
167	0.3352361539
168	0.3346821323
169	0.3342565155
170	0.3338200613
171	0.3332369026
172	0.3325524823
173	0.3322799351
174	0.331753165
175	0.3313555618
176	0.3307914422
177	0.33047681
178	0.330132858
179	0.3299061121
180	0.3293525108
181	0.3290561617
182	0.328175153
183	0.3278257718
184	0.3274073601
185	0.3269099394
186	0.326533363
187	0.3260290042
188	0.325526261
189	0.3251360287
190	0.3247679804
191	0.3241747464
192	0.3237009928
193	0.3232237408
194	0.3229194273
195	0.3227001171
196	0.3224298506
197	0.3221821094
198	0.3216074347
199	0.3211504523
200	0.3207573936
201	0.3202901479
202	0.3199335084
203	0.3191988144
204	0.3186762875
205	0.3182881542
206	0.3179217822
207	0.3176024031
208	0.3172528276
209	0.3168471694
210	0.3166211849
211	0.3162601031
212	0.3160103423
213	0.3155922253
214	0.3153269983
215	0.3146791509
216	0.314300217
217	0.3139193655
218	0.3136913088
219	0.3135065793
220	0.3131706791
221	0.3128220163
222	0.3125264427
223	0.3118052643
224	0.3114601895
225	0.3110751745
226	0.3107424166
227	0.3104228615
228	0.3101989033
229	0.3098341167
230	0.3093918564
231	0.3091531108
232	0.3089115289
233	0.3086763506
234	0.3084363934
235	0.3079355743
236	0.3076431275
237	0.3072516185
238	0.3069992129
239	0.3065879269
240	0.3064222251
241	0.3062599247
